Epoch,Inc_Validation Accuracy,Inc_Validationl Loss,Inc_Train Loss,Inc_Train Accuracy,Inc_Training Time,eb4_Validation Accuracy,eb4_Validation Loss,eb4_Train Loss,eb4_Train Accuracy,eb4_Training Time (sec),d121_Validation Accuracy,d121_Validation Loss,d121_Train Loss,d121_Train Accuracy,d121_Training Time (sec),r50_Validation Accuracy,r50_Validation Loss,r50_Train Loss,r50_Train Accuracy,r50_Training Time (sec),mob_Validation Accuracy,mob_Validation Loss,mob_Train Loss,mob_Train Accuracy,mob_Training Time (sec),,
1,0.570532918,1.52251184,2.188518286,0.314055145,150.705168,0.166144207,2.426115513,2.51949358,0.137525216,203.6997898,0.50470221,1.746954322,2.437973261,0.234700739,177.5159118,0.192789972,2.348501682,2.7006042,0.128446534,154.0170419,0.619122,1.399408,2.150372,0.314391,182.45277,,
2,0.664576828,1.147292256,1.538590789,0.532952249,87.82986188,0.202194363,2.378745794,2.459015369,0.164088771,86.82177615,0.656739831,1.28262949,1.753889322,0.456624061,89.18820667,0.202194363,2.282309294,2.463236094,0.161735043,95.03904366,0.706897,1.00096,1.389952,0.569267,105.303191,,
3,0.725705326,0.936061561,1.217467189,0.61634165,88.03088927,0.213166147,2.340756655,2.42967391,0.176866174,85.93866801,0.722570539,1.019732237,1.385592818,0.586415589,88.63175654,0.241379306,2.238946438,2.375130653,0.211835906,94.1551671,0.769592,0.783215,1.08419,0.665098,106.953197,,
4,0.772727251,0.815086126,1.082419157,0.662407517,86.11265016,0.213166147,2.310429573,2.403793573,0.177874923,86.60488892,0.750783682,0.867147923,1.178069592,0.655346334,89.29654503,0.266457677,2.199694872,2.324080467,0.221250847,97.15570331,0.793103,0.674234,0.922675,0.700404,105.841382,,
5,0.799373031,0.734735608,0.966038764,0.692669809,87.17991638,0.208463952,2.302387714,2.403150558,0.176529929,86.36657596,0.786833882,0.739998996,1.025616646,0.696704745,89.97956753,0.282131672,2.170233965,2.303243637,0.228984535,95.23468852,0.802508,0.604743,0.792665,0.747142,105.227568,,
6,0.802507818,0.680128455,0.887530863,0.724949539,86.60019207,0.213166147,2.279914856,2.383651257,0.174512446,87.27258825,0.808777452,0.663615525,0.923487782,0.715534627,89.83726907,0.302507848,2.14796114,2.28050828,0.224277064,96.95687675,0.818182,0.559941,0.73848,0.766308,103.759586,,
7,0.818181813,0.629708529,0.813912868,0.732683241,86.82348347,0.225705326,2.264517069,2.379703283,0.182246134,86.29083109,0.824451387,0.600141644,0.845574319,0.740080714,89.84645534,0.313479632,2.127159834,2.253396034,0.242434427,96.11039305,0.835423,0.500857,0.667545,0.788164,104.35798,,
8,0.840125382,0.591929138,0.799543858,0.742434442,87.05231142,0.264890283,2.262630701,2.365463495,0.187626094,86.80410838,0.836990595,0.547866285,0.755402505,0.775722921,89.90172315,0.313479632,2.100798845,2.231447458,0.238399461,98.01220512,0.846395,0.465754,0.61002,0.809348,104.20232,,
9,0.836990595,0.553993642,0.726464808,0.766980469,86.0904038,0.23667711,2.251661062,2.348796844,0.193342298,86.27793002,0.836990595,0.512447298,0.700540662,0.794889033,89.81552052,0.332288414,2.090284348,2.207470655,0.262609273,94.78430724,0.862069,0.447771,0.579298,0.815736,103.08445,,
10,0.855799377,0.536763668,0.705062926,0.769334257,86.29140782,0.277429461,2.236572981,2.352524757,0.198386014,86.67633176,0.855799377,0.47687766,0.650983751,0.806657672,89.37493014,0.307210028,2.072414398,2.180226803,0.263618022,95.04734516,0.871473,0.429604,0.540778,0.825488,103.676952,,
11,0.863636374,0.515898347,0.68765986,0.776059151,86.47836733,0.278996855,2.243918419,2.357227564,0.195023537,86.62907815,0.868338585,0.451936245,0.620930612,0.815063894,90.32858968,0.330720991,2.040462494,2.170792103,0.266980499,95.85513544,0.877743,0.408359,0.514019,0.8423,103.717341,,
12,0.871473372,0.485661566,0.627430081,0.791526556,86.80288124,0.255485892,2.229800701,2.337223768,0.19098857,87.46058035,0.868338585,0.430734903,0.601525605,0.813382626,91.23278785,0.311912239,2.024817228,2.157966614,0.285474122,96.34360242,0.88558,0.395235,0.495626,0.840955,103.715753,,
13,0.869905949,0.478178889,0.610049665,0.804303944,86.24076486,0.253918499,2.219571114,2.324624062,0.198722258,86.82633424,0.879310369,0.412546188,0.571149826,0.821116328,90.55363131,0.341692775,2.018002987,2.138113737,0.284465373,95.97339916,0.890282,0.370796,0.45168,0.859785,103.027283,,
